Product number,Product Name,Product Group,Current collection,Product type,Brand,EAN Code,IC EAN,MC EAN,TARIC Code,Designer,Power type,Adapter Output Voltage (V),Adapter Cable Length (cm),Adapter Colour,Adapter Pins included,Adapter Input Voltage (V),Battery type,Number of Batteries (pcs),Main Case Material,Case Length (cm),Case Width (cm),Case Depth (cm),Case Round (cm),Case Colour,Case Finish,Main Dial Material,Dial Colour,Hands Material Hour,Hands Material Minute,Hands Material Second,Hour Hand Dimensions (cm),Minute Hand Dimensions (cm),Second Hand Dimensions (cm),Hour Hand Colour,Minute Hand Colour,Second Hand Colour,Hands Finish,Logo Width (cm),Logo Colour,Logo Location,Main Product Material,Secondary Product Material,Type of wood,Secondary Type of wood,Main Product Colour,Movement Type,Movement Number Primary,Movement Type Secondary,Movement Number Secondary,Product Size Round (cm),Product Size length (cm),Product Size Width (cm),Product Size Depth (cm),Pendulum length Visible (cm),Pendulum Width Visible (cm),Pendulum Depth Visible (cm),Net Weight Product (kg),Shape of Product,Digital or Analog,Age group,Radio controlled,Silent,Index,Style,Outside or inside,Control by app,Assembly Required,Second hand,Luminous Hands,Moving Gears,Glow in the dark dial,Bluetooth version,Giftbox length (cm),Giftbox Width (cm),Giftbox Depth (cm),Giftbox Print,Giftbox type,Gross Weight Giftbox+Product (kg),Inner Carton length (cm),Inner Carton Width (cm),Inner Carton Depth (cm),Inner Carton Net Weight (kg),Inner Carton Gross Weight (kg),Inner Carton Quantity (pcs),Master Carton length (cm),Master Carton Width (cm),Master Carton Depth (cm),Master Carton Net Weight (kg),Master Carton Gross Weight (kg),Master Carton Quantity (pcs),Measurements Cubic Meters per MC,Packaging Weight Paper (g),Packaging Weight Plastic (g),Packaging Weight Other (g),User Manual Link,Movie link,Country of Origin
2039,Dropped Numerals,Z,,Wall clock,,8717545050019,,8717713007197,9105210000,NeXtime,Battery,,,,,,AA,1,,,,,,,Matt,Glass,,Aluminium,Aluminium,,130x1.18x0.05+4.2,17.00x1.18x0.05+4.20,,Black,Black,,Matt,4.5,Black,Between 12 and Centre,Glass,,,,Transparent,Step,PMYT145KP,,,,49,49,3.6,,,,"1,200",,,,,,,,,,,,,,,,36,37.5,6.2,NeXtime standard,GB02,"1,620",,,,,,,36,39,38.2,"6,000","9,000",5,0.054,413,7,,,,China
2251,Big Ben Arabic,Z,,Wall clock,,8717545050125,,8717713009740,9105210000,NeXtime,,,,,,,,,,,,,,,,PVC,,,,,42,46.4,,,,,Matt,,Black,Between 12 and Centre,Aluminium,Glass,,,White,High Torque,Fakane I shaft,,,,,,,,,,"11,500",,,,,,,,,,,,,,,,12.5,99.5,99.5,Brown,GB01,"13,000",,,,,,,14.5,102,102,"11,500","15,000",1,0.151,,,,,,China
2364,Skeletklok rechthoek,Z,,Wall clock,,8717545050286,,,9105210000,NeXtime,,,,,,,,,,,,,,,,Glass,,,,,,,,,,,,,,,Glass,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB01,,,,,,,,,,,,,,0,,,,,,China
2365,Skeleton Clock,Z,,Wall clock,,8717545050293,,,9105210000,NeXtime,,,,,,,,,Wood,,,,,,,Glass,,,,,,,,,,,,,,,Glass,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB01,,,,,,,,,,,,,,0,,,,,,China
